Z,u1,v1,u2,v2,u3,v3,u4,v4,pos1,pos2,pos3,pos4,pos5,pos6,vel1,vel2,vel3,vel4,vel5,vel6,err1,err2,err3,err4,err5,err6,err7,err8,speed1,speed2,speed3,speed4,speed5,speed6,cmdspeed1,cmdspeed2,cmdspeed3,cmdspeed4,cmdspeed5,cmdspeed6,time,normErr,
185,136,63,136,134,206,63,206,134,-0.0106541,1.78185,-0.397736,0.0203157,2.11618,0.0017593,-5583,-5583,-5583,-5583,-5583,0,76,43,76,-63,-39,43,-39,-63,-0.0227286,0.053633,-0.044068,-0.0032446,-0.0114617,-0.009088,-5583,20048,-40006,519,-1836,1213,129,155.274,,
179,134,62,134,134,206,62,206,134,-0.0135225,1.78841,-0.403502,0.0201062,2.11618,0.00100531,-3710,-3710,-3710,-3710,-3710,0,74,42,74,-63,-39,42,-39,-63,-0.0151039,0.0463021,-0.0378335,-0.00225136,-0.0103246,-0.00631411,-3710,17308,-34346,360,-1654,842,130,152.496,,
182,134,61,134,132,205,61,205,132,-0.0155714,1.79478,-0.409194,0.0198968,2.11513,0,-3785,-3785,-3785,-3785,-3785,0,74,41,74,-65,-40,41,-40,-65,-0.0154119,0.048448,-0.0408814,-0.00237239,-0.0110327,-0.00678002,-3785,18110,-37113,380,-1767,905,131,153.036,,
179,133,59,133,132,205,59,205,132,-0.0178935,1.80115,-0.414442,0.0196874,2.11513,-0.000251328,-4344,-4344,-4344,-4344,-4344,0,73,39,73,-65,-40,39,-40,-65,-0.0176866,0.0486548,-0.0428846,-0.00256855,-0.011329,-0.00748879,-4344,18187,-38932,411,-1814,999,128,150.486,,
172,131,58,131,132,205,58,205,132,-0.018713,1.81228,-0.419875,0.0194779,2.11513,-0.000753984,-2863,-2863,-2863,-2863,-2863,0,71,38,71,-65,-40,38,-40,-65,-0.0116587,0.0421581,-0.0360842,-0.00181876,-0.0105408,-0.00524549,-2863,15759,-32758,291,-1688,700,128,147.78,,
169,131,56,131,131,206,56,206,131,-0.0213082,1.81902,-0.425013,0.019059,2.11408,-0.00125664,-2911,-2911,-2911,-2911,-2911,0,71,36,71,-66,-39,36,-39,-66,-0.0118508,0.0413699,-0.0361868,-0.00181076,-0.0107363,-0.00535025,-2911,15464,-32851,290,-1720,714,129,146.178,,
169,131,56,131,131,206,56,206,131,-0.0229473,1.81991,-0.429189,0.0184307,2.11408,-0.00150797,-2931,-2931,-2931,-2931,-2931,0,71,36,71,-66,-39,36,-39,-66,-0.0119332,0.0414532,-0.0362003,-0.00181533,-0.0108073,-0.00543299,-2931,15495,-32863,290,-1731,725,129,146.178,,
169,130,56,130,131,205,56,205,131,-0.0239035,1.82566,-0.434031,0.0182213,2.11325,-0.00201062,-2664,-2664,-2664,-2664,-2664,0,70,36,70,-66,-40,36,-40,-66,-0.0108454,0.0408645,-0.0355606,-0.00170733,-0.0108952,-0.00513591,-2664,15275,-32283,273,-1745,685,130,145.753,,
166,129,56,129,131,205,56,205,131,-0.024723,1.82997,-0.438984,0.0178024,2.11325,-0.00301594,-1844,-1844,-1844,-1844,-1844,0,69,36,69,-66,-40,36,-40,-66,-0.00750746,0.0374173,-0.0309925,-0.00134105,-0.0102693,-0.00398055,-1844,13987,-28136,214,-1645,531,130,144.796,,
166,128,55,128,131,204,55,204,131,-0.0269085,1.83499,-0.443677,0.017593,2.11304,-0.00427258,-2154,-2154,-2154,-2154,-2154,0,68,35,68,-66,-41,35,-41,-66,-0.0087709,0.0384819,-0.0335695,-0.00143757,-0.010747,-0.00444363,-2154,14385,-30475,230,-1721,593,128,143.67,,
